State,County,Community Name (Number), Policies in Force , Total Coverage , Total Written Premium + FPF , Total Annual Payment 
ALABAMA,BALDWIN COUNTY,"SILVERHILL, TOWN OF (010010)", 4 ," $1,134,000 "," $2,139 "," $2,591 "
ALABAMA,BALDWIN COUNTY,"SPANISH FORT, CITY OF (010429)", 52 ," $16,727,000 "," $87,462 "," $109,694 "
ALABAMA,BALDWIN COUNTY,"SUMMERDALE, TOWN OF (010328)", 13 ," $4,595,000 "," $8,484 "," $10,677 "
ALABAMA,BARBOUR COUNTY,BARBOUR COUNTY* (010315), 13 ," $2,939,000 "," $17,468 "," $21,277 "
ALABAMA,BARBOUR COUNTY,"EUFAULA, CITY OF (010011)", 23 ," $5,004,000 "," $27,416 "," $34,308 "
ALABAMA,BIBB COUNTY,BIBB COUNTY* (010226), 6 ," $1,516,000 "," $12,272 "," $14,806 "
ALABAMA,BIBB COUNTY,"BRENT, CITY OF (010012)", 4 ," $931,000 "," $5,180 "," $6,629 "
ALABAMA,BIBB COUNTY,"CENTREVILLE, CITY OF (010369)", 8 ," $3,432,000 "," $22,409 "," $27,252 "
ALABAMA,BIBB COUNTY,"WOODSTOCK, TOWN OF (015013)", 1 ," $119,000 "," $1,411 "," $1,682 "
ALABAMA,BLOUNT COUNTY,BLOUNT COUNTY* (010230), 25 ," $4,318,000 "," $25,736 "," $32,358 "
ALABAMA,BLOUNT COUNTY,"HIGHLAND LAKE, TOWN OF  (010019)", 4 ," $976,000 "," $4,123 "," $5,382 "
ALABAMA,BLOUNT COUNTY,"ONEONTA, CITY OF (010015)", 12 ," $3,974,000 "," $29,391 "," $37,130 "
ALABAMA,BULLOCK COUNTY,BULLOCK COUNTY* (010231), 4 ," $972,000 "," $3,461 "," $4,375 "
ALABAMA,BULLOCK COUNTY,"UNION SPRINGS, CITY OF (010016)", 8 ," $2,800,000 "," $6,194 "," $9,242 "
ALABAMA,BUTLER COUNTY,BUTLER COUNTY * (010017), 1 ," $350,000 ", $444 , $540 
ALABAMA,BUTLER COUNTY,"GEORGIANA, CITY OF (010018)", 2 ," $318,000 ", $964 ," $1,170 "
ALABAMA,CALHOUN COUNTY,"ANNISTON, CITY OF (010020)", 104 ," $30,598,000 "," $182,721 "," $227,227 "
ALABAMA,CALHOUN COUNTY,CALHOUN COUNTY * (010013), 118 ," $24,518,000 "," $140,887 "," $176,077 "
ALABAMA,CALHOUN COUNTY,"HOBSON CITY, TOWN OF (010021)", 6 ," $131,000 "," $3,045 "," $5,044 "
ALABAMA,CALHOUN COUNTY,"JACKSONVILLE, CITY OF (010022)", 78 ," $11,483,000 "," $81,320 "," $111,426 "
ALABAMA,CALHOUN COUNTY,"OXFORD, CITY OF (010023)", 91 ," $24,663,000 "," $108,368 "," $135,002 "
ALABAMA,CALHOUN COUNTY,"PIEDMONT, CITY OF (010024)", 14 ," $1,263,000 "," $8,386 "," $12,378 "
ALABAMA,CALHOUN COUNTY,"WEAVER, CITY OF (010025)", 2 ," $250,000 ", $883 ," $1,075 "
ALABAMA,CHAMBERS COUNTY,CHAMBERS COUNTY* (010026), 10 ," $2,901,000 "," $13,642 "," $17,161 "
ALABAMA,CHAMBERS COUNTY,"LANETT, CITY OF (010029)", 17 ," $3,899,000 "," $19,077 "," $24,368 "
ALABAMA,CHAMBERS COUNTY,"VALLEY, CITY OF (010424)", 8 ," $2,935,000 "," $10,005 "," $12,612 "
ALABAMA,CHEROKEE COUNTY,"CEDAR BLUFF,TOWN OF (015010)", 52 ," $10,869,000 "," $30,191 "," $37,957 "
ALABAMA,CHEROKEE COUNTY,"CENTRE, CITY OF (010233)", 11 ," $3,525,000 "," $16,314 "," $19,884 "
ALABAMA,CHEROKEE COUNTY,CHEROKEE COUNTY* (010234), 144 ," $29,803,000 "," $157,074 "," $200,557 "
ALABAMA,CHEROKEE COUNTY,"LEESBURG, CITY OF (010235)", 4 ," $1,101,000 "," $2,929 "," $3,747 "
ALABAMA,CHILTON COUNTY,CHILTON COUNTY * (010030), 23 ," $5,117,000 "," $24,194 "," $30,505 "
ALABAMA,CHILTON COUNTY,"CLANTON, CITY OF (010031)", 13 ," $2,294,000 "," $12,487 "," $16,077 "
ALABAMA,CHILTON COUNTY,"JEMISON, CITY OF (010501)", 3 ," $972,000 "," $1,262 "," $2,214 "
ALABAMA,CHILTON COUNTY,"MAPLESVILLE, TOWN OF (010032)", 2 ," $210,000 "," $1,238 "," $1,943 "
ALABAMA,CHOCTAW COUNTY,"BUTLER, CITY OF (010033)", 12 ," $1,442,000 "," $11,247 "," $15,272 "
ALABAMA,CHOCTAW COUNTY,CHOCTAW COUNTY* (010310), 20 ," $4,355,000 "," $20,694 "," $25,875 "
ALABAMA,CHOCTAW COUNTY,"GILBERTOWN, TOWN OF (010034)", 1 ," $156,000 "," $1,595 "," $2,124 "
ALABAMA,CHOCTAW COUNTY,"PENNINGTON, TOWN OF (010035)", 3 ," $211,000 "," $1,841 "," $2,448 "
ALABAMA,CLARKE COUNTY,CLARKE COUNTY * (010316), 26 ," $4,396,000 "," $25,309 "," $33,222 "
ALABAMA,CLARKE COUNTY,"COFFEEVILLE, TOWN OF (010484)", 1 ," $249,000 ", $598 , $722 
ALABAMA,CLARKE COUNTY,"FULTON, TOWN OF (010038)", 5 ," $924,000 "," $5,570 "," $6,881 "
ALABAMA,CLARKE COUNTY,"THOMASVILLE, CITY OF (010041)", 4 ," $943,000 "," $7,680 "," $9,128 "
ALABAMA,CLEBURNE COUNTY,"HEFLIN, CITY OF (010043)", 4 ," $1,155,000 "," $5,139 "," $6,580 "
ALABAMA,COFFEE COUNTY,COFFEE COUNTY * (010239), 25 ," $5,678,000 "," $18,232 "," $22,602 "
ALABAMA,COFFEE COUNTY,"ELBA, CITY OF (015004)", 136 ," $31,392,000 "," $150,080 "," $192,172 "
ALABAMA,COFFEE COUNTY,"ENTERPRISE, CITY OF (010045)", 60 ," $17,346,000 "," $38,640 "," $49,513 "
ALABAMA,COLBERT COUNTY,"CHEROKEE, CITY OF (010208)", 4 ," $748,000 "," $4,406 "," $5,940 "
ALABAMA,COLBERT COUNTY,COLBERT COUNTY* (010318), 21 ," $5,911,000 "," $19,010 "," $25,254 "
ALABAMA,COLBERT COUNTY,"LEIGHTON, CITY OF (010046)", 1 ," $210,000 ", $567 , $686 
ALABAMA,COLBERT COUNTY,"LITTLEVILLE, TOWN OF (010330)", 1 ," $207,000 "," $1,089 "," $1,302 "
ALABAMA,COLBERT COUNTY,"MUSCLE SHOALS, CITY OF (010047)", 53 ," $13,853,000 "," $60,089 "," $76,281 "
ALABAMA,COLBERT COUNTY,"SHEFFIELD, CITY OF (010048)", 28 ," $4,607,000 "," $32,553 "," $41,803 "
ALABAMA,COLBERT COUNTY,"TUSCUMBIA, CITY OF (010049)", 18 ," $4,310,000 "," $19,353 "," $24,033 "
ALABAMA,CONECUH COUNTY,CONECUH COUNTY* (010319), 3 ," $705,000 "," $2,524 "," $3,252 "
ALABAMA,COOSA COUNTY,COOSA COUNTY * (010052), 18 ," $4,355,000 "," $23,195 "," $29,915 "
ALABAMA,COVINGTON COUNTY,"ANDALUSIA, CITY OF (010331)", 5 ," $1,300,000 "," $2,756 "," $3,561 "
ALABAMA,COVINGTON COUNTY,COVINGTON COUNTY * (010244), 105 ," $20,184,000 "," $129,277 "," $161,710 "
ALABAMA,COVINGTON COUNTY,"FLORALA, CITY OF (010332)", 2 ," $105,000 "," $2,202 "," $2,632 "
ALABAMA,COVINGTON COUNTY,"GANTT, TOWN OF (010053)", 1 ," $350,000 "," $1,292 "," $1,766 "
ALABAMA,COVINGTON COUNTY,"OPP, CITY OF (010241)", 2 ," $223,000 "," $2,654 "," $3,390 "
ALABAMA,CRENSHAW COUNTY,"BRANTLEY, TOWN OF (010055)", 1 ," $37,000 ", $325 , $400 
ALABAMA,CRENSHAW COUNTY,CRENSHAW COUNTY* (010246), 1 ," $70,000 ", $614 , $741 
ALABAMA,CRENSHAW COUNTY,"GLENWOOD, TOWN OF (010057)", 1 ," $43,000 ", $542 , $656 
ALABAMA,CRENSHAW COUNTY,"LUVERNE, CITY OF (010058)", 2 ," $700,000 "," $1,538 "," $1,848 "
ALABAMA,CULLMAN COUNTY,"CULLMAN, CITY OF (010209)", 8 ," $2,051,000 "," $7,017 "," $8,862 "
ALABAMA,CULLMAN COUNTY,CULLMAN COUNTY * (010247), 66 ," $15,676,000 "," $66,737 "," $86,368 "
ALABAMA,CULLMAN COUNTY,"GOOD HOPE, TOWN OF (010437)", 3 ," $600,000 "," $2,652 "," $3,178 "
ALABAMA,CULLMAN COUNTY,"HANCEVILLE, CITY OF (010059)", 10 ," $2,136,000 "," $7,344 "," $9,957 "
ALABAMA,DALE COUNTY,"CLAYHATCHEE, TOWN OF (010415)", 2 ," $630,000 "," $1,287 "," $1,552 "
ALABAMA,DALE COUNTY,DALE COUNTY * (010060), 23 ," $5,584,000 "," $17,305 "," $21,472 "
ALABAMA,DALE COUNTY,"DALEVILLE, CITY OF (010061)", 30 ," $6,457,000 "," $27,427 "," $33,987 "
ALABAMA,DALE COUNTY,"DOTHAN, CITY OF (010104)", 3 ," $891,000 "," $1,806 "," $2,181 "
ALABAMA,DALE COUNTY,"LEVEL PLAINS, CITY OF (010416)", 3 ," $928,000 "," $1,790 "," $2,162 "
ALABAMA,DALE COUNTY,"NEWTON, TOWN OF (010419)", 2 ," $435,000 "," $2,145 "," $2,564 "
ALABAMA,DALE COUNTY,"OZARK, CITY OF (010062)", 12 ," $3,681,000 "," $6,982 "," $8,888 "
ALABAMA,DALLAS COUNTY,DALLAS COUNTY* (010063), 190 ," $29,274,000 "," $142,376 "," $182,400 "
ALABAMA,DALLAS COUNTY,"SELMA, CITY OF (010065)", 57 ," $10,615,000 "," $55,689 "," $71,603 "
ALABAMA,DALLAS COUNTY,"VALLEY GRANDE, CITY OF (010312)", 10 ," $2,635,000 "," $12,365 "," $14,755 "
ALABAMA,DE KALB COUNTY,"COLLINSVILLE, TOWN OF (010066)", 5 ," $551,000 "," $5,139 "," $6,597 "
ALABAMA,DE KALB COUNTY,"CROSSVILLE, TOWN OF (010367)", 5 ," $924,000 "," $5,781 "," $7,355 "
ALABAMA,DE KALB COUNTY,DE KALB COUNTY * (010320), 14 ," $2,698,000 "," $13,174 "," $16,451 "
ALABAMA,DE KALB COUNTY,"FORT PAYNE, CITY OF (010067)", 26 ," $9,482,000 "," $47,761 "," $59,713 "
ALABAMA,DE KALB COUNTY,"HAMMONDVILLE, TOWN OF (010388)", 1 ," $210,000 ", $659 , $794 
ALABAMA,DE KALB COUNTY,"HENAGAR, TOWN OF (010357)", 1 ," $145,000 "," $1,528 "," $1,820 "
ALABAMA,DE KALB COUNTY,"MENTONE, TOWN OF (010359)", 3 ," $713,000 "," $2,636 "," $3,610 "
ALABAMA,DE KALB COUNTY,"RAINSVILLE, CITY OF (010368)", 11 ," $2,087,000 "," $8,255 "," $10,149 "
ALABAMA,DE KALB COUNTY,"SYLVANIA, TOWN OF (010364)", 1 ," $192,000 "," $2,481 "," $2,944 "
ALABAMA,DE KALB COUNTY,"VALLEY HEAD, TOWN OF (010068)", 4 ," $516,000 "," $2,825 "," $4,075 "
ALABAMA,ELMORE COUNTY,"COOSADA, TOWN OF (015012)", 4 ," $1,376,000 "," $3,586 "," $4,297 "
ALABAMA,ELMORE COUNTY,ELMORE COUNTY* (010406), 177 ," $46,350,000 "," $173,107 "," $215,516 "
ALABAMA,ELMORE COUNTY,"ELMORE, TOWN OF (010490)", 2 ," $525,000 "," $1,417 "," $1,705 "
ALABAMA,ELMORE COUNTY,"MILLBROOK, CITY OF (010370)", 142 ," $27,073,000 "," $137,834 "," $171,518 "
ALABAMA,ELMORE COUNTY,"PRATTVILLE, CITY OF (010002)", 3 ," $665,000 "," $3,063 "," $3,664 "
ALABAMA,ELMORE COUNTY,"TALLASSEE, CITY OF (010069)", 1 ," $1,000,000 "," $4,918 "," $6,045 "
ALABAMA,ELMORE COUNTY,"WETUMPKA, CITY OF (010070)", 56 ," $12,189,000 "," $60,362 "," $76,053 "
ALABAMA,ESCAMBIA COUNTY,"ATMORE, CITY OF (010071)", 28 ," $7,328,000 "," $25,139 "," $31,475 "
ALABAMA,ESCAMBIA COUNTY,"BREWTON, CITY OF (010072)", 42 ," $15,135,000 "," $147,769 "," $183,388 "
ALABAMA,ESCAMBIA COUNTY,"EAST BREWTON, CITY OF (010073)", 24 ," $5,018,000 "," $41,057 "," $51,092 "
ALABAMA,ESCAMBIA COUNTY,ESCAMBIA COUNTY * (010251), 42 ," $8,142,000 "," $40,995 "," $51,544 "
ALABAMA,ESCAMBIA COUNTY,"FLOMATON, TOWN OF (010074)", 6 ," $440,000 "," $4,112 "," $4,951 "
ALABAMA,ESCAMBIA COUNTY,"POLLARD, TOWN OF (010075)", 4 ," $341,000 "," $2,476 "," $2,988 "
ALABAMA,ESCAMBIA COUNTY,"RIVERVIEW, TOWN OF (010076)", 4 ," $869,000 "," $3,662 "," $4,613 "
ALABAMA,ETOWAH COUNTY,"ATTALLA, CITY OF (010079)", 14 ," $2,725,000 "," $17,791 "," $22,800 "
ALABAMA,ETOWAH COUNTY,"BOAZ, CITY OF (010276)", 1 ," $210,000 ", $650 , $784 
ALABAMA,ETOWAH COUNTY,ETOWAH COUNTY * (010077), 73 ," $16,814,000 "," $70,937 "," $86,931 "
ALABAMA,ETOWAH COUNTY,"GADSDEN, CITY OF (010080)", 79 ," $18,111,000 "," $86,985 "," $110,478 "
ALABAMA,ETOWAH COUNTY,"GLENCOE, CITY OF (010081)", 23 ," $3,800,000 "," $19,687 "," $24,512 "
ALABAMA,ETOWAH COUNTY,"HOKES BLUFF, CITY OF (010254)", 18 ," $4,047,000 "," $19,816 "," $23,907 "
ALABAMA,ETOWAH COUNTY,"RAINBOW CITY, CITY OF (010351)", 41 ," $9,578,000 "," $43,655 "," $53,318 "
ALABAMA,ETOWAH COUNTY,"SARDIS CITY, TOWN  OF (010361)", 3 ," $651,000 "," $2,222 "," $2,672 "
ALABAMA,ETOWAH COUNTY,"SOUTHSIDE, CITY OF (010082)", 16 ," $4,154,000 "," $18,490 "," $22,757 "
ALABAMA,FAYETTE COUNTY,"FAYETTE, CITY OF (010084)", 5 ," $851,000 "," $3,388 "," $4,306 "
ALABAMA,FAYETTE COUNTY,FAYETTE COUNTY * (010219), 6 ," $742,000 "," $4,454 "," $5,355 "
ALABAMA,FRANKLIN COUNTY,FRANKLIN COUNTY* (010322), 10 ," $1,719,000 "," $10,644 "," $13,624 "
ALABAMA,FRANKLIN COUNTY,"RUSSELLVILLE, CITY OF (010216)", 11 ," $2,057,000 "," $10,334 "," $13,052 "
ALABAMA,GENEVA COUNTY,"GENEVA, CITY OF (010085)", 26 ," $8,314,000 "," $28,238 "," $36,228 "
ALABAMA,GENEVA COUNTY,GENEVA COUNTY * (010258), 23 ," $5,480,000 "," $19,982 "," $25,084 "
ALABAMA,GENEVA COUNTY,"HARTFORD, CITY OF (010086)", 12 ," $2,048,000 "," $8,232 "," $10,364 "
ALABAMA,GENEVA COUNTY,"SAMSON, CITY OF (010088)", 1 ," $350,000 ", $707 , $851 
ALABAMA,GENEVA COUNTY,"SLOCOMB, CITY OF (010089)", 4 ," $1,480,000 "," $6,653 "," $8,143 "
ALABAMA,GREENE COUNTY,"BOLIGEE, CITY OF (010092)", 1 ," $121,000 "," $1,023 "," $1,224 "
ALABAMA,GREENE COUNTY,"EUTAW, CITY OF (010093)", 1 ," $500,000 "," $1,795 "," $2,360 "
ALABAMA,GREENE COUNTY,GREENE COUNTY * (010091), 74 ," $12,771,000 "," $62,599 "," $78,461 "
ALABAMA,HALE COUNTY,HALE COUNTY* (010094), 67 ," $12,739,000 "," $63,617 "," $81,576 "
ALABAMA,HALE COUNTY,"MOUNDVILLE, TOWN OF (010096)", 8 ," $2,115,000 "," $14,538 "," $17,511 "
ALABAMA,HENRY COUNTY,"ABBEVILLE, CITY OF (010259)", 1 ," $28,000 ", $323 , $623 
ALABAMA,HENRY COUNTY,"HEADLAND, CITY OF (010097)", 7 ," $1,869,000 "," $9,493 "," $11,542 "
ALABAMA,HENRY COUNTY,HENRY COUNTY* (010261), 28 ," $7,521,000 "," $26,296 "," $34,193 "
ALABAMA,HOUSTON COUNTY,"ASHFORD, CITY OF (010099)", 20 ," $3,518,000 "," $17,886 "," $21,887 "
ALABAMA,HOUSTON COUNTY,"AVON, TOWN OF (010100)", 2 ," $430,000 "," $2,073 "," $2,480 "
ALABAMA,HOUSTON COUNTY,"COLUMBIA, TOWN OF (010101)", 7 ," $1,655,000 "," $19,656 "," $23,758 "
ALABAMA,HOUSTON COUNTY,"COTTONWOOD, TOWN OF (010102)", 2 ," $630,000 "," $1,361 "," $1,864 "
ALABAMA,HOUSTON COUNTY,"COWARTS, TOWN OF (010103)", 4 ," $829,000 "," $3,074 "," $3,694 "
ALABAMA,HOUSTON COUNTY,"DOTHAN, CITY OF (010104)", 276 ," $67,336,000 "," $249,230 "," $313,740 "
ALABAMA,HOUSTON COUNTY,HOUSTON COUNTY * (010098), 45 ," $9,080,000 "," $39,439 "," $47,959 "
ALABAMA,HOUSTON COUNTY,"KINSEY, TOWN OF (010106)", 4 ," $479,000 "," $3,440 "," $4,575 "
ALABAMA,HOUSTON COUNTY,"MADRID, TOWN OF (010107)", 1 ," $350,000 ", $772 , $928 
ALABAMA,HOUSTON COUNTY,"REHOBETH, TOWN OF (010392)", 1 ," $350,000 "," $1,809 "," $2,151 "
ALABAMA,HOUSTON COUNTY,"TAYLOR, TOWN OF (010108)", 4 ," $1,033,000 "," $2,307 "," $3,014 "
ALABAMA,HOUSTON COUNTY,"WEBB, TOWN OF (010109)", 2 ," $495,000 "," $2,468 "," $2,946 "
ALABAMA,JACKSON COUNTY,"HOLLYWOOD, TOWN OF (010111)", 2 ," $361,000 "," $2,699 "," $3,218 "
ALABAMA,JACKSON COUNTY,"HUNTSVILLE, CITY OF (010153)", 1 ," $350,000 ", $773 , $929 
ALABAMA,JACKSON COUNTY,JACKSON COUNTY * (010110), 36 ," $7,882,000 "," $34,181 "," $41,603 "
ALABAMA,JACKSON COUNTY,"LANGSTON, TOWN OF (010502)", 5 ," $1,604,000 "," $3,651 "," $5,066 "
ALABAMA,JACKSON COUNTY,"SCOTTSBORO, CITY OF (010112)", 73 ," $15,666,000 "," $76,159 "," $94,449 "
ALABAMA,JACKSON COUNTY,"STEVENSON, CITY OF (010113)", 12 ," $1,813,000 "," $18,511 "," $23,841 "
ALABAMA,JACKSON COUNTY,"WOODVILLE, TOWN OF (010114)", 18 ," $3,575,000 "," $20,659 "," $25,124 "
ALABAMA,JEFFERSON COUNTY,"ADAMSVILLE, CITY OF (010267)", 2 ," $514,000 "," $1,001 "," $1,665 "
ALABAMA,JEFFERSON COUNTY,"BESSEMER, CITY OF (010115)", 105 ," $19,599,000 "," $141,049 "," $176,043 "
ALABAMA,JEFFERSON COUNTY,"BIRMINGHAM, CITY OF (010116)", 495 ," $126,023,000 "," $610,264 "," $774,418 "
ALABAMA,JEFFERSON COUNTY,"BRIGHTON, CITY OF (010117)", 7 ," $1,003,000 "," $5,629 "," $6,757 "
ALABAMA,JEFFERSON COUNTY,"BROOKSIDE, TOWN OF (010118)", 1 ," $155,000 "," $2,894 "," $3,431 "
ALABAMA,JEFFERSON COUNTY,"CENTER POINT, CITY OF (010445)", 10 ," $2,874,000 "," $8,160 "," $9,796 "
ALABAMA,JEFFERSON COUNTY,"CLAY, CITY OF (010446)", 14 ," $3,959,000 "," $11,778 "," $14,579 "
ALABAMA,JEFFERSON COUNTY,"FAIRFIELD, CITY OF (010120)", 5 ," $1,666,000 "," $3,587 "," $4,540 "
ALABAMA,JEFFERSON COUNTY,"FULTONDALE, CITY OF (010121)", 1 ," $350,000 ", $766 , $920 
ALABAMA,JEFFERSON COUNTY,"GARDENDALE, CITY OF (010269)", 7 ," $2,258,000 "," $4,404 "," $5,312 "
ALABAMA,JEFFERSON COUNTY,"GRAYSVILLE, CITY OF (010266)", 1 ," $228,000 ", $472 , $574 
ALABAMA,JEFFERSON COUNTY,"HELENA, CITY OF (010294)", 3 ," $900,000 "," $2,132 "," $2,565 "
ALABAMA,JEFFERSON COUNTY,"HOMEWOOD, CITY OF (015006)", 201 ," $59,714,000 "," $217,007 "," $274,695 "
ALABAMA,JEFFERSON COUNTY,"HOOVER, CITY OF (010123)", 128 ," $35,349,000 "," $129,358 "," $159,928 "
ALABAMA,JEFFERSON COUNTY,"HUEYTOWN, CITY OF (010337)", 47 ," $7,705,000 "," $71,211 "," $86,834 "
ALABAMA,JEFFERSON COUNTY,"IRONDALE, CITY OF (010124)", 27 ," $10,131,000 "," $74,072 "," $91,453 "
ALABAMA,JEFFERSON COUNTY,JEFFERSON COUNTY * (010217), 166 ," $41,831,000 "," $181,227 "," $225,370 "
ALABAMA,JEFFERSON COUNTY,"LEEDS, CITY OF (010125)", 46 ," $12,598,000 "," $65,642 "," $80,922 "
ALABAMA,JEFFERSON COUNTY,"LIPSCOMB, CITY OF (010126)", 11 ," $1,229,000 "," $8,425 "," $12,150 "
ALABAMA,JEFFERSON COUNTY,"MIDFIELD, CITY OF (010127)", 43 ," $5,930,000 "," $55,015 "," $68,781 "
ALABAMA,JEFFERSON COUNTY,"MORRIS, TOWN OF (010264)", 3 ," $2,287,000 "," $17,230 "," $20,832 "
ALABAMA,JEFFERSON COUNTY,"MOUNTAIN BROOK, CITY OF (010128)", 127 ," $37,297,000 "," $132,738 "," $165,210 "
ALABAMA,JEFFERSON COUNTY,"PINSON, CITY OF (010447)", 10 ," $1,910,000 "," $10,319 "," $13,018 "
ALABAMA,JEFFERSON COUNTY,"PLEASANT GROVE, CITY OF (010268)", 3 ," $854,000 "," $2,326 "," $2,795 "
ALABAMA,JEFFERSON COUNTY,"SYLVAN SPRINGS, TOWN OF (010420)", 1 ," $350,000 ", $659 , $794 
ALABAMA,JEFFERSON COUNTY,"TARRANT, CITY OF (010131)", 15 ," $8,069,000 "," $59,607 "," $73,735 "
ALABAMA,JEFFERSON COUNTY,"TRUSSVILLE, CITY OF (010133)", 48 ," $19,047,000 "," $92,147 "," $114,253 "
ALABAMA,JEFFERSON COUNTY,"VESTAVIA HILLS, CITY OF (010132)", 107 ," $36,948,000 "," $182,972 "," $223,105 "
ALABAMA,LAMAR COUNTY,"KENNEDY, TOWN OF (010136)", 2 ," $430,000 "," $2,322 "," $2,998 "
ALABAMA,LAMAR COUNTY,LAMAR COUNTY * (010271), 11 ," $1,730,000 "," $9,042 "," $11,301 "
ALABAMA,LAMAR COUNTY,"VERNON, CITY OF (010139)", 1 ," $112,000 "," $1,213 "," $1,673 "
ALABAMA,LAUDERDALE COUNTY,"ANDERSON, TOWN OF (010407)", 2 ," $220,000 "," $5,007 "," $5,941 "
ALABAMA,LAUDERDALE COUNTY,"FLORENCE, CITY OF (010140)", 38 ," $11,834,000 "," $35,461 "," $44,496 "
ALABAMA,LAUDERDALE COUNTY,"KILLEN, TOWN OF (010338)", 1 ," $350,000 ", $776 , $932 
ALABAMA,LAUDERDALE COUNTY,LAUDERDALE COUNTY * (010323), 105 ," $23,510,000 "," $112,850 "," $139,625 "
ALABAMA,LAUDERDALE COUNTY,"SAINT FLORIAN, TOWN OF (010505)", 1 ," $350,000 ", $831 , $997 
ALABAMA,LAWRENCE COUNTY,"COURTLAND, TOWN OF (010141)", 4 ," $360,000 "," $3,459 "," $4,148 "
ALABAMA,LAWRENCE COUNTY,"HILLSBORO, TOWN OF (010305)", 4 ," $613,000 "," $2,373 "," $2,867 "
ALABAMA,LAWRENCE COUNTY,LAWRENCE COUNTY * (010324), 39 ," $7,612,000 "," $38,087 "," $46,938 "
ALABAMA,LAWRENCE COUNTY,"MOULTON, CITY OF (010142)", 29 ," $5,140,000 "," $28,348 "," $35,730 "
ALABAMA,LAWRENCE COUNTY,"TOWN CREEK, TOWN OF (010143)", 6 ," $987,000 "," $7,102 "," $9,605 "
ALABAMA,LEE COUNTY,"AUBURN, CITY OF (010144)", 145 ," $42,368,000 "," $104,578 "," $131,873 "
ALABAMA,LEE COUNTY,LEE COUNTY * (010250), 85 ," $18,833,000 "," $75,873 "," $94,985 "
ALABAMA,LEE COUNTY,"OPELIKA, CITY OF (010145)", 37 ," $11,167,000 "," $25,772 "," $31,700 "
ALABAMA,LEE COUNTY,"PHENIX CITY, CITY OF (010184)", 11 ," $3,769,000 "," $6,760 "," $8,384 "
ALABAMA,LEE COUNTY,"SMITHS STATION, CITY OF (010491)", 10 ," $2,647,000 "," $7,716 "," $9,719 "
ALABAMA,LIMESTONE COUNTY,"ARDMORE, TOWN OF (010306)", 1 ," $350,000 "," $2,108 "," $2,504 "
ALABAMA,LIMESTONE COUNTY,"ATHENS, CITY OF (010146)", 70 ," $21,536,000 "," $121,400 "," $149,586 "
ALABAMA,LIMESTONE COUNTY,"HUNTSVILLE, CITY OF (010153)", 36 ," $11,081,000 "," $26,426 "," $38,087 "
ALABAMA,LIMESTONE COUNTY,LIMESTONE COUNTY * (010307), 133 ," $37,885,000 "," $127,468 "," $158,009 "
ALABAMA,LIMESTONE COUNTY,"MADISON, CITY OF (010308)", 39 ," $12,528,000 "," $27,010 "," $33,645 "
ALABAMA,LOWNDES COUNTY,"BENTON, TOWN OF (015002)", 2 ," $360,000 ", $892 ," $1,311 "
ALABAMA,LOWNDES COUNTY,LOWNDES COUNTY * (010272), 69 ," $14,824,000 "," $57,908 "," $72,399 "
